Player,Season,Team,S/C,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP,FOW%
Connor Bunnaman,20202021,PHI,L,C,8,0,1,1,-1,0,0.13,0,1,0,0,0,0,0,0,7,0,12:09,56
Justin Braun,20202021,PHI,R,D,13,0,1,1,4,2,0.08,0,1,0,0,0,0,0,0,9,0,18:02,--
Shayne Gostisbehere,20202021,PHI,L,D,7,0,1,1,4,0,0.14,0,1,0,0,0,0,0,0,14,0,20:00,--
Brandon Hagel,20202021,CHI,L,L,10,0,1,1,-3,2,0.1,0,1,0,0,0,0,0,0,15,0,12:24,50
Ian Cole,20202021,"COL,MIN",L,D,10,0,1,1,4,2,0.1,0,1,0,0,0,0,0,0,5,0,16:41,--
Sam Gagner,20202021,DET,R,C,7,0,1,1,1,9,0.14,0,1,0,0,0,0,0,0,11,0,13:40,28.6
Tyler Ennis,20202021,EDM,L,C,5,0,1,1,-3,0,0.2,0,1,0,0,0,0,0,0,4,0,9:34,--
Braydon Coburn,20202021,OTT,L,D,8,0,1,1,-5,4,0.13,0,1,0,0,0,0,0,0,5,0,17:21,--
Tyson Jost,20202021,COL,L,C,11,0,1,1,2,6,0.09,0,1,0,0,0,0,0,0,10,0,14:08,46.8
Patrik Nemeth,20202021,DET,L,D,13,0,1,1,-5,4,0.08,0,1,0,0,0,0,0,0,16,0,20:24,--
Brendan Smith,20202021,NYR,L,D,6,0,1,1,1,4,0.17,0,1,0,0,0,0,0,0,5,0,12:36,--
Tony DeAngelo,20202021,NYR,R,D,6,0,1,1,-6,4,0.17,0,0,0,1,0,0,0,0,13,0,18:29,--
Nicolas Roy,20202021,VGK,R,C,9,0,1,1,2,4,0.11,0,1,0,0,0,0,0,0,7,0,13:41,56.4
Alex Goligoski,20202021,ARI,L,D,11,0,1,1,1,4,0.09,0,1,0,0,0,0,0,0,12,0,21:45,--
Luke Schenn,20202021,TBL,R,D,7,0,1,1,-2,7,0.14,0,1,0,0,0,0,0,0,6,0,10:25,--
Trent Frederic,20202021,BOS,L,C,11,0,1,1,0,5,0.09,0,1,0,0,0,0,0,0,11,0,11:38,44.4
Brett Howden,20202021,NYR,L,C,10,0,1,1,-1,7,0.1,0,1,0,0,0,0,0,0,10,0,13:18,49.5
Erik Cernak,20202021,TBL,R,D,7,0,1,1,5,4,0.14,0,1,0,0,0,0,0,0,13,0,17:09,--
Matt Irwin,20202021,BUF,L,D,3,0,1,1,-1,4,0.33,0,1,0,0,0,0,0,0,7,0,16:18,--
Erik Johnson,20202021,COL,R,D,4,0,1,1,2,2,0.25,0,1,0,0,0,0,0,0,5,0,13:26,--
Gerald Mayhew,20202021,MIN,R,C,2,0,1,1,1,0,0.5,0,0,0,1,0,0,0,0,3,0,13:15,0
Radko Gudas,20202021,FLA,R,D,9,0,1,1,3,2,0.11,0,1,0,0,0,0,0,0,15,0,17:09,--
Ryan Graves,20202021,COL,L,D,10,0,1,1,-5,18,0.1,0,1,0,0,0,0,0,0,17,0,17:27,--
Erik Brannstrom,20202021,OTT,L,D,2,0,1,1,2,2,0.5,0,1,0,0,0,0,0,0,1,0,16:11,--
Casey Mittelstadt,20202021,BUF,L,C,2,0,1,1,-1,0,0.5,0,0,0,1,0,0,0,0,0,--,10:21,66.7
Anthony Beauvillier,20202021,NYI,L,L,5,0,1,1,-2,0,0.2,0,0,0,1,0,0,0,0,4,0,14:36,0
Dmitry Kulikov,20202021,NJD,L,D,9,0,1,1,4,2,0.11,0,1,0,0,0,0,0,0,10,0,19:56,--
Nikita Gusev,20202021,NJD,R,L,9,0,1,1,-6,0,0.11,0,1,0,0,0,0,0,0,24,0,14:08,--
Carl Gunnarsson,20202021,STL,L,D,6,0,1,1,0,6,0.17,0,1,0,0,0,0,0,0,2,0,12:40,--
Jeff Skinner,20202021,BUF,L,L,10,0,1,1,0,6,0.1,0,1,0,0,0,0,0,0,24,0,13:52,33.3
Cody Eakin,20202021,BUF,L,C,10,0,1,1,-2,0,0.1,0,1,0,0,0,0,0,0,4,0,14:09,59.7
Olli Maatta,20202021,LAK,L,D,7,0,1,1,-2,2,0.14,0,1,0,0,0,0,0,0,9,0,17:38,--
Nathan Beaulieu,20202021,WPG,L,D,11,0,1,1,2,12,0.09,0,1,0,0,0,0,0,0,12,0,18:00,--
Matt Tennyson,20202021,NJD,R,D,9,0,1,1,7,2,0.11,0,1,0,0,0,0,0,0,10,0,13:28,--
Zach Bogosian,20202021,TOR,R,D,12,0,1,1,4,6,0.08,0,1,0,0,0,0,0,0,10,0,14:36,--
Jake DeBrusk,20202021,BOS,L,L,6,0,1,1,-1,0,0.17,0,1,0,0,0,0,0,0,9,0,14:02,66.7
Nic Petan,20202021,TOR,L,C,2,0,1,1,1,2,0.5,0,1,0,0,0,0,0,0,3,0,9:52,--
Steven Lorentz,20202021,CAR,L,C,4,0,1,1,-1,2,0.25,0,1,0,0,0,0,0,0,2,0,12:06,66.7
Scott Harrington,20202021,CBJ,L,D,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,--,13:29,--
Owen Tippett,20202021,FLA,R,R,7,0,1,1,-3,4,0.14,0,1,0,0,0,0,0,0,9,0,11:02,--
Mitchell Stephens,20202021,TBL,R,C,4,0,1,1,-2,0,0.25,0,1,0,0,0,0,0,0,2,0,8:32,65.4
Alexander Volkov,20202021,TBL,L,R,4,0,1,1,-1,0,0.25,0,1,0,0,0,0,0,0,1,0,9:18,--
John Marino,20202021,PIT,R,D,11,0,1,1,-4,6,0.09,0,1,0,0,0,0,0,0,10,0,23:27,--
Patrick Marleau,20202021,SJS,L,C,10,0,1,1,-3,0,0.1,0,1,0,0,0,0,0,0,7,0,12:10,48.7
Nathan Gerbe,20202021,CBJ,L,C,1,0,1,1,1,2,1,0,1,0,0,0,0,0,0,1,0,9:36,--
Lawson Crouse,20202021,ARI,L,L,8,0,1,1,-3,2,0.13,0,0,0,1,0,0,0,0,9,0,13:56,42.9
Jason Demers,20202021,ARI,R,D,11,0,1,1,-2,12,0.09,0,1,0,0,0,0,0,0,12,0,17:43,--
Drew O'Connor,20202021,PIT,L,L,5,0,1,1,0,0,0.2,0,1,0,0,0,0,0,0,4,0,10:25,100
Chad Ruhwedel,20202021,PIT,R,D,10,0,1,1,0,12,0.1,0,1,0,0,0,0,0,0,11,0,15:18,--
Matt Martin,20202021,NYI,L,L,10,0,1,1,-2,4,0.1,0,1,0,0,0,0,0,0,12,0,10:32,0
Ryan Reaves,20202021,VGK,R,R,9,0,1,1,-1,2,0.11,0,1,0,0,0,0,0,0,6,0,10:08,14.3
Alex Biega,20202021,DET,R,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12:05,--
Luke Johnson,20202021,MIN,R,C,2,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,1,0,11:13,0
Kyle Capobianco,20202021,ARI,L,D,2,0,0,0,-2,2,0,0,0,0,0,0,0,0,0,3,0,14:28,--
Kyle Rau,20202021,MIN,L,C,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,7:53,--
Mark Alt,20202021,LAK,R,D,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,13:35,--
Kevin Czuczman,20202021,PIT,L,D,2,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,2,0,11:39,--
Jonas Siegenthaler,20202021,WSH,L,D,6,0,0,0,-3,2,0,0,0,0,0,0,0,0,0,3,0,15:32,--
Dmytro Timashov,20202021,NYI,L,L,1,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,1,0,7:13,--
Austin Czarnik,20202021,NYI,R,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14:12,50
Joel L'Esperance,20202021,DAL,R,C,3,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,3,0,9:26,40
Stefan Noesen,20202021,SJS,R,R,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,9:31,25
Jacob MacDonald,20202021,COL,L,D,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,13:17,--
Martin Kaut,20202021,COL,R,R,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,--,5:50,--
Sheldon Dries,20202021,COL,L,C,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,8:20,0
Riley Stillman,20202021,FLA,L,D,1,0,0,0,-1,2,0,0,0,0,0,0,0,0,0,0,--,16:58,--
Dryden Hunt,20202021,ARI,L,L,1,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,--,10:44,--
Matt Luff,20202021,LAK,R,R,2,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,1,0,9:54,50
Nicholas Robertson,20202021,TOR,L,L,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2:20,--
Samuel Morin,20202021,PHI,L,L,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,1,0,5:31,--
Libor Hajek,20202021,NYR,L,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,9:29,--
Joey Anderson,20202021,TOR,R,R,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,--,9:36,0
Mikhail Maltsev,20202021,NJD,L,L,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10:20,42.9
Jonny Brodzinski,20202021,NYR,R,C,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,7:33,--
Fredrik Handemark,20202021,SJS,L,C,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,--,9:44,40
Micheal Haley,20202021,OTT,L,L,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,--,7:39,0
Vinni Lettieri,20202021,ANA,R,C,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,13:45,--
Andrew Agozzino,20202021,ANA,L,L,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16:00,55.6
Reese Johnson,20202021,CHI,R,C,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,10:56,--
Jacob Middleton,20202021,SJS,L,D,1,0,0,0,-2,2,0,0,0,0,0,0,0,0,0,1,0,8:44,--
Gaetan Haas,20202021,EDM,R,C,2,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,--,14:23,46.9
Drew Shore,20202021,CAR,R,C,1,0,0,0,-1,2,0,0,0,0,0,0,0,0,0,1,0,8:35,0
Joakim Nygard,20202021,EDM,L,L,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,8:40,--
Dominik Simon,20202021,CGY,L,C,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,10:22,28.6
Filip Chlapik,20202021,OTT,L,C,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,7:11,--
Lucas Carlsson,20202021,CHI,L,D,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,11:11,--
Brad Hunt,20202021,MIN,L,D,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,8:48,--
Nikolai Knyzhov,20202021,SJS,L,D,10,0,0,0,-3,8,0,0,0,0,0,0,0,0,0,9,0,10:44,--
Pierre-Edouard Bellemare,20202021,COL,L,C,8,0,0,0,1,4,0,0,0,0,0,0,0,0,0,5,0,10:57,64.7
Conor Timmins,20202021,COL,R,D,8,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,9,0,13:18,--
Sheldon Rempal,20202021,CAR,R,R,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8:18,0
Jake Bean,20202021,CAR,L,D,3,0,0,0,-1,2,0,0,0,0,0,0,0,0,0,3,0,11:54,--
Max McCormick,20202021,CAR,L,L,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4:18,--
Emil Bemstrom,20202021,CBJ,R,C,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,11:49,--
Marc-Edouard Vlasic,20202021,SJS,L,D,10,0,0,0,-5,2,0,0,0,0,0,0,0,0,0,9,0,21:10,--
Ville Heinola,20202021,WPG,L,D,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,14:22,--
Kristian Vesalainen,20202021,WPG,L,L,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7:25,--
Victor Mete,20202021,MTL,L,D,2,0,0,0,-2,2,0,0,0,0,0,0,0,0,0,0,--,16:14,--
Par Lindholm,20202021,BOS,L,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,12:55,80
Yannick Weber,20202021,PIT,R,D,2,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,1,0,11:19,--
Dennis Gilbert,20202021,COL,L,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,9:54,--
Brian Pinho,20202021,WSH,R,C,2,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,3,0,7:49,57.1
Connor McMichael,20202021,WSH,L,C,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,9:54,100
Robert Bortuzzo,20202021,STL,R,D,2,0,0,0,1,4,0,0,0,0,0,0,0,0,0,1,0,7:47,--
Ross Johnston,20202021,NYI,L,L,6,0,0,0,-2,18,0,0,0,0,0,0,0,0,0,2,0,8:29,33.3
Kieffer Bellows,20202021,NYI,L,L,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,0,9:50,100
Michael Chaput,20202021,ARI,L,C,2,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,1,0,13:40,33.3
John Hayden,20202021,ARI,R,C,4,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,2,0,11:54,0
Nico Sturm,20202021,MIN,L,C,9,0,0,0,-4,4,0,0,0,0,0,0,0,0,0,14,0,9:36,48
Rasmus Asplund,20202021,BUF,L,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7:20,--
Niklas Hjalmarsson,20202021,ARI,L,D,11,0,0,0,-1,6,0,0,0,0,0,0,0,0,0,8,0,18:41,--
Ilya Lyubushkin,20202021,ARI,R,D,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13:08,--
Johan Larsson,20202021,ARI,L,L,11,0,0,0,-5,9,0,0,0,0,0,0,0,0,0,8,0,13:44,46.3
Niko Mikkola,20202021,STL,L,D,8,0,0,0,-1,2,0,0,0,0,0,0,0,0,0,7,0,13:10,--
Jake Walman,20202021,STL,L,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,5:51,--
Mackenzie MacEachern,20202021,STL,L,L,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,10:09,--
Jack Johnson,20202021,NYR,L,D,5,0,0,0,-4,4,0,0,0,0,0,0,0,0,0,5,0,16:37,--
Julien Gauthier,20202021,NYR,R,R,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,8:21,0
Nick Holden,20202021,VGK,L,D,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,15:00,--
William Carrier,20202021,VGK,L,L,9,0,0,0,-2,4,0,0,0,0,0,0,0,0,0,10,0,10:03,--
Christian Fischer,20202021,ARI,R,R,8,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,4,0,11:26,0
Victor Soderstrom,20202021,ARI,R,D,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,13:41,--
Jordan Gross,20202021,ARI,R,D,3,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,7,0,15:10,--
Travis Dermott,20202021,TOR,L,D,9,0,0,0,2,4,0,0,0,0,0,0,0,0,0,7,0,10:11,--
Dylan Coghlan,20202021,VGK,R,D,2,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,1,0,13:30,--
Alexander Barabanov,20202021,TOR,L,L,6,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,2,0,6:03,--
Matthew Highmore,20202021,CHI,L,C,8,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,10,0,9:16,--
Joel Hanley,20202021,DAL,L,D,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,12:23,--
Mark Pysyk,20202021,DAL,R,D,9,0,0,0,1,8,0,0,0,0,0,0,0,0,0,6,0,12:34,--
Philippe Maillet,20202021,WSH,L,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8:02,50
Dmitry Orlov,20202021,WSH,L,D,7,0,0,0,-4,2,0,0,0,0,0,0,0,0,0,6,0,18:35,--
Mason Marchment,20202021,FLA,L,L,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,--,7:56,--
Mathias Brome,20202021,DET,L,L,11,0,0,0,-5,6,0,0,0,0,0,0,0,0,0,9,0,13:43,0
Rudolfs Balcers,20202021,SJS,L,L,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,1,0,11:53,--
Jesper Fast,20202021,CAR,R,R,4,0,0,0,-1,2,0,0,0,0,0,0,0,0,0,3,0,14:28,0
Morgan Geekie,20202021,CAR,R,C,7,0,0,0,-1,2,0,0,0,0,0,0,0,0,0,4,0,10:03,49
Byron Froese,20202021,CGY,R,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,4:50,25
Nikita Nesterov,20202021,CGY,L,D,11,0,0,0,-3,4,0,0,0,0,0,0,0,0,0,5,0,15:49,--
Haydn Fleury,20202021,CAR,L,D,9,0,0,0,-3,4,0,0,0,0,0,0,0,0,0,15,0,15:25,--
Joakim Nordstrom,20202021,CGY,L,C,9,0,0,0,-5,4,0,0,0,0,0,0,0,0,0,6,0,11:02,0
Zac Rinaldo,20202021,CGY,L,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,2:04,--
Jalen Chatfield,20202021,VAN,R,D,9,0,0,0,-7,6,0,0,0,0,0,0,0,0,0,8,0,14:18,--
Loui Eriksson,20202021,VAN,L,L,1,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,2,0,9:16,--
Justin Bailey,20202021,VAN,R,R,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6:32,--
Mike Matheson,20202021,PIT,L,D,3,0,0,0,-2,6,0,0,0,0,0,0,0,0,0,4,0,17:31,--
Sam Lafferty,20202021,PIT,R,C,6,0,0,0,-4,2,0,0,0,0,0,0,0,0,0,5,0,8:02,37.5
Andy Greene,20202021,NYI,L,D,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,0,16:45,--
Leo Komarov,20202021,NYI,L,R,4,0,0,0,-2,5,0,0,0,0,0,0,0,0,0,3,0,12:15,0
Marco Scandella,20202021,STL,L,D,9,0,0,0,4,10,0,0,0,0,0,0,0,0,0,7,0,18:52,--
Nick Caamano,20202021,DAL,L,R,8,0,0,0,-4,2,0,0,0,0,0,0,0,0,0,13,0,8:49,--
Andrej Sekera,20202021,DAL,L,D,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,17:45,--
Rhett Gardner,20202021,DAL,L,C,2,0,0,0,-1,2,0,0,0,0,0,0,0,0,0,1,0,7:43,36.4
Matt Benning,20202021,NSH,R,D,10,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,14:02,--
Mark Friedman,20202021,PHI,R,D,3,0,0,0,-1,4,0,0,0,0,0,0,0,0,0,1,0,11:18,--
Luca Sbisa,20202021,NSH,L,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,11:58,--
Vinnie Hinostroza,20202021,FLA,R,C,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10:21,33.3
Noel Acciari,20202021,FLA,R,C,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,14:36,45.7
Juho Lammikko,20202021,FLA,L,C,5,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,4,0,9:10,40.7
Noah Juulsen,20202021,FLA,R,D,2,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,3,0,15:38,--
Anton Blidh,20202021,BOS,L,L,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,9:25,--
Karson Kuhlman,20202021,BOS,R,C,2,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,3,0,8:56,50
David Gustafsson,20202021,WPG,L,C,4,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,1,0,5:49,52.4
Kyle Okposo,20202021,BUF,R,R,5,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,1,0,11:58,0
Jarred Tinordi,20202021,NSH,L,D,3,0,0,0,1,2,0,0,0,0,0,0,0,0,0,4,0,14:13,--
Connor Clifton,20202021,BOS,R,D,6,0,0,0,0,7,0,0,0,0,0,0,0,0,0,7,0,17:08,--
Brandon Pirri,20202021,CHI,L,C,1,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,2,0,11:29,0
Alex Chiasson,20202021,EDM,R,R,7,0,0,0,-4,0,0,0,0,0,0,0,0,0,0,6,0,12:09,0
Jesper Boqvist,20202021,NJD,L,C,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,13:34,37.5
Josh Manson,20202021,ANA,R,D,3,0,0,0,-2,2,0,0,0,0,0,0,0,0,0,1,0,15:46,--
Juuso Riikola,20202021,PIT,L,D,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11:26,--
Sonny Milano,20202021,ANA,L,L,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,14:24,--
Andy Welinski,20202021,ANA,R,D,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,11:42,--
Austin Strand,20202021,LAK,R,D,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,--,15:51,--
Sami Niku,20202021,WPG,L,D,3,0,0,0,-2,6,0,0,0,0,0,0,0,0,0,1,0,12:26,--
Martin Frk,20202021,LAK,R,R,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,--,9:21,--
Tucker Poolman,20202021,WPG,R,D,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,--,18:53,--
Nate Thompson,20202021,WPG,L,C,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7:25,41.2
Ben Hutton,20202021,ANA,L,D,7,0,0,0,-1,2,0,0,0,0,0,0,0,0,0,8,0,18:37,--
Jani Hakanpaa,20202021,ANA,R,D,13,0,0,0,3,6,0,0,0,0,0,0,0,0,0,10,0,18:10,--
Ondrej Kase,20202021,BOS,R,R,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,9:21,--
Joel Kellman,20202021,SJS,L,C,1,0,0,0,-1,2,0,0,0,0,0,0,0,0,0,1,0,12:07,50
Nicolas Meloche,20202021,SJS,R,D,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,--,5:43,--
Cole Smith,20202021,NSH,L,L,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5:57,--
Brayden McNabb,20202021,VGK,L,D,7,0,0,0,-1,4,0,0,0,0,0,0,0,0,0,5,0,19:27,--
Christian Wolanin,20202021,OTT,L,D,4,0,0,0,-3,2,0,0,0,0,0,0,0,0,0,4,0,14:31,--
Josh Brown,20202021,OTT,R,D,8,0,0,0,-5,8,0,0,0,0,0,0,0,0,0,1,0,15:17,--
Luke Glendening,20202021,DET,R,C,13,0,0,0,-6,8,0,0,0,0,0,0,0,0,0,8,0,12:59,65.9
Darren Helm,20202021,DET,L,L,7,0,0,0,-2,2,0,0,0,0,0,0,0,0,0,11,0,13:06,80
Adam Erne,20202021,DET,L,L,5,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,4,0,11:12,--
Jansen Harkins,20202021,WPG,L,C,9,0,0,0,-2,4,0,0,0,0,0,0,0,0,0,4,0,8:23,61.5
Logan Stanley,20202021,WPG,L,D,10,0,0,0,5,6,0,0,0,0,0,0,0,0,0,17,0,12:21,--
Morgan Frost,20202021,PHI,L,C,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,10:14,50
Ryan Lomberg,20202021,FLA,L,L,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11:27,--
Gustav Forsling,20202021,FLA,L,D,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,15:15,--
Brett Connolly,20202021,FLA,R,R,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,11:58,--